Grupo ,Base de dados,Descrição
Anfíbios,[Amphibian Species of the World – Frost](https://amphibiansoftheworld.amnh.org),"Banco de dados taxonômico e nomenclatural que reúne informações técnicas atualizadas sobre a taxonomia e distribuição de anfíbios, com curadoria de especialistas e foco em sistemática"
Aves,[Avibase - The World Bird Database](https://avibase.bsc-eoc.org/avibase.jsp),Permite criar e gerenciar lifelists e produzir relatórios úteis.
Aves,[IOC World Bird List](https://www.worldbirdnames.org],
Aves,[BirLife](https://www.birdlife.org),
Mamíferos,[The Mammal Diversity Database](https://www.mammaldiversity.org/index.html),
Répteis,[The Reptile Database](http://www.reptile-database.org/),
Peixes,[FishDataBase](https://www.fishdatabase.com/),
Invertebrados,[Division of Invertebrate Zoology](https://emu-prod.amnh.org/imulive/iz/iz.html),
Hymenoptera,[](https://www.antweb.org),
Hymenoptera,[](https://www.globalants.org),
Hymenoptera,[](https://antcat.org),
Hymenoptera,[](https://antmaps.org),
Lepdoptera,[](https://www.nhm.ac.uk/our-science/data/lepindex),
Lepdoptera,[](https://ftp.funet.fi/index/Tree_of_life/insecta/lepidoptera),
Ortoptera,[](https://orthoptera.speciesfile.org),
Diptera,[](http://www.diptera.org),
Diptera,[](https://diptera.info/news.php),
Aracnídeos,[](https://wac.nmbe.ch),
Miriápode,[](https://www.millibase.org),
Miriápode,[](https://myriapodology.org/myrlit),
Molusco,[](https://www.molluscabase.org),
Anélida,[](https://annelida.de/software),
Anélida,[](https://www.marinespecies.org/polychaeta/aphia.php?p=taxdetails&id=882),
Coleoptera,[](https://bugguide.net/node/view/60),
Coleoptera,[](https://www.nhm.ac.uk/our-science/services/collections/entomology/coleoptera.html),
