Journal,Shortname,Open access,Price,CiteScore,Impact Factor,Review Time,Link
Perspectives in Ecology and Conservation,PECON,Yes,0,7.2,5.652,8.4 Weeks,https://www.sciencedirect.com/journal/perspectives-in-ecology-and-conservation 
Diversity and Distributions,D&D,Yes,$2970 USD,8.2,5.717,17 days,https://onlinelibrary.wiley.com/journal/14724642
Global Ecology and Biogeography,GEB,Yes,$4530 USD,NA,6.909,NA,https://onlinelibrary.wiley.com/journal/14668238
Journal of Biogeography,NA,Yes,$4840 USD,NA,4.81,NA,https://onlinelibrary.wiley.com/journal/13652699
Ecography,NA,Yes,$2900 USD,11.2,6.802,23 days,https://onlinelibrary.wiley.com/journal/16000587 
Ecology,NA,Yes,$3600 USD,8.4,6.433,20 days,https://esajournals.onlinelibrary.wiley.com/journal/19399170
Ecosphere,,,$2100 USD,13.6,,,
Ecological Applications,,,$3600 USD,,,,
Ecological Monographs,,,$3600 USD,,,,
Frontiers in Ecology and the Environment,,,$3600 USD,,,,
Ecology Letters,NA,Yes,$5050 USD,,11.274,8 days,https://onlinelibrary.wiley.com/journal/14610248
